firstName,lastName,username,password,isActive,address,dateOfBirth
Ana,Gonzalez,Ana.Gonzalez,xd8KcLq7Mz,true,Carrera 12 #45-67,2000-05-15
Luis,Martinez,Luis.Martinez,Apq93zXwTm,true,Calle 89 #12-34,1998-03-22
Maria,Lopez,Maria.Lopez,Ty2nXv4WQe,false,Av. Siempre Viva 123,1995-11-09
Carlos,Ramirez,Carlos.Ramirez,Lmn8WaBc12,true,Carrera 7 #98-76,2001-08-30
Diana,Torres,Diana.Torres,39xYpQs4Ae,false,Calle 45 #33-21,1999-01-12
Andres,Hernandez,Andres.Hernandez,Zw4Cr9BtUe,true,Av. El Dorado #1-20,2002-07-01
Ana,Gonzalez,Ana.Gonzalez1,GeKxQp3nBv,true,Calle 77 #44-55,1999-10-10
Luis,Martinez,Luis.Martinez1,Wy9Tr7MvQz,true,Calle 90 #12-20,1997-05-05
Laura,Castro,Laura.Castro,EiPz97WcQ1,true,Av. Caracas #77-55,2000-09-03
Felipe,Naranjo,Felipe.Naranjo,AmR3n8YtKx,true,Calle 80 #10-10,2003-04-20
